HDR,ROLLING SYSTEM DEMAND
VD,20220920210500,28959
VD,20220920211000,29164
VD,20220920211500,28984
VD,20220920212000,28893
VD,20220920212500,28605
VD,20220920213000,28477
VD,20220920213500,28072
VD,20220920214000,27799
VD,20220920214500,27705
VD,20220920215000,27691
VD,20220920215500,27236
VD,20220920220000,26857
VD,20220920220500,26909
VD,20220920221000,26803
VD,20220920221500,26582
VD,20220920222000,26310
VD,20220920222500,26010
VD,20220920223000,25736
VD,20220920223500,25666
VD,20220920224000,25512
VD,20220920224500,25412
VD,20220920225000,25261
VD,20220920225500,25050
VD,20220920230000,24858
VD,20220920230500,24708
VD,20220920231000,24545
VD,20220920231500,24447
VD,20220920232000,24425
VD,20220920232500,24235
VD,20220920233000,24119
VD,20220920233500,24054
VD,20220920234000,24026
VD,20220920234500,24001
VD,20220920235000,23981
VD,20220920235500,23917
VD,20220921000000,23930
VD,20220921000500,24039
VD,20220921001000,23935
VD,20220921001500,23873
VD,20220921002000,23857
VD,20220921002500,23863
VD,20220921003000,23897
VD,20220921003500,24001
VD,20220921004000,23918
VD,20220921004500,23964
VD,20220921005000,23873
VD,20220921005500,23874
VD,20220921010000,23849
VD,20220921010500,23805
VD,20220921011000,23696
VD,20220921011500,23615
VD,20220921012000,23625
VD,20220921012500,23685
VD,20220921013000,23667
VD,20220921013500,23664
VD,20220921014000,23619
VD,20220921014500,23597
VD,20220921015000,23580
VD,20220921015500,23539
VD,20220921020000,23478
VD,20220921020500,23453
VD,20220921021000,23431
VD,20220921021500,23375
VD,20220921022000,23329
VD,20220921022500,23342
VD,20220921023000,23310
VD,20220921023500,23321
VD,20220921024000,23244
VD,20220921024500,23179
VD,20220921025000,23197
VD,20220921025500,23182
VD,20220921030000,23209
VD,20220921030500,23239
VD,20220921031000,23222
VD,20220921031500,23238
VD,20220921032000,23293
VD,20220921032500,23304
VD,20220921033000,23318
VD,20220921033500,23383
VD,20220921034000,23333
VD,20220921034500,23299
VD,20220921035000,23296
VD,20220921035500,23374
VD,20220921040000,23440
VD,20220921040500,23553
VD,20220921041000,23743
VD,20220921041500,23753
VD,20220921042000,23967
VD,20220921042500,24124
VD,20220921043000,24210
VD,20220921043500,24377
VD,20220921044000,24543
VD,20220921044500,24705
VD,20220921045000,24839
VD,20220921045500,25015
VD,20220921050000,25199
VD,20220921050500,25566
VD,20220921051000,26014
VD,20220921051500,26291
VD,20220921052000,26598
VD,20220921052500,27147
VD,20220921053000,27382
VD,20220921053500,27730
VD,20220921054000,28096
VD,20220921054500,28420
VD,20220921055000,28775
VD,20220921055500,29064
VD,20220921060000,29377
VD,20220921060500,29909
VD,20220921061000,30544
VD,20220921061500,30773
VD,20220921062000,30981
VD,20220921062500,31180
VD,20220921063000,31381
VD,20220921063500,31673
VD,20220921064000,31801
VD,20220921064500,32002
VD,20220921065000,32063
VD,20220921065500,32076
VD,20220921070000,32046
VD,20220921070500,32263
VD,20220921071000,32438
VD,20220921071500,32322
VD,20220921072000,32331
VD,20220921072500,32240
VD,20220921073000,32178
VD,20220921073500,32152
VD,20220921074000,32125
VD,20220921074500,32041
VD,20220921075000,32099
VD,20220921075500,32117
VD,20220921080000,32143
VD,20220921080500,32237
VD,20220921081000,32373
VD,20220921081500,32424
VD,20220921082000,32307
VD,20220921082500,32201
VD,20220921083000,32086
VD,20220921083500,32001
VD,20220921084000,31960
VD,20220921084500,31875
VD,20220921085000,31788
VD,20220921085500,31603
VD,20220921090000,31533
VD,20220921090500,31439
VD,20220921091000,31299
VD,20220921091500,31244
VD,20220921092000,31228
VD,20220921092500,31065
VD,20220921093000,31069
VD,20220921093500,31236
VD,20220921094000,31091
VD,20220921094500,30981
VD,20220921095000,30978
VD,20220921095500,30872
VD,20220921100000,30759
VD,20220921100500,30739
VD,20220921101000,30705
VD,20220921101500,30738
VD,20220921102000,30736
VD,20220921102500,30673
VD,20220921103000,30623
VD,20220921103500,30522
VD,20220921104000,30422
VD,20220921104500,30388
VD,20220921105000,30388
VD,20220921105500,30505
VD,20220921110000,30572
VD,20220921110500,30688
VD,20220921111000,30742
VD,20220921111500,30794
VD,20220921112000,30763
VD,20220921112500,30658
VD,20220921113000,30544
VD,20220921113500,30537
VD,20220921114000,30516
VD,20220921114500,30510
VD,20220921115000,30532
VD,20220921115500,30444
VD,20220921120000,30446
VD,20220921120500,30584
VD,20220921121000,30562
VD,20220921121500,30374
VD,20220921122000,30368
VD,20220921122500,30295
VD,20220921123000,30219
VD,20220921123500,30222
VD,20220921124000,30205
VD,20220921124500,30124
VD,20220921125000,30128
VD,20220921125500,30097
VD,20220921130000,30108
VD,20220921130500,30170
VD,20220921131000,30197
VD,20220921131500,30187
VD,20220921132000,30173
VD,20220921132500,30127
VD,20220921133000,30024
VD,20220921133500,30081
VD,20220921134000,30123
VD,20220921134500,29927
VD,20220921135000,29946
VD,20220921135500,29866
VD,20220921140000,29842
VD,20220921140500,29708
VD,20220921141000,29705
VD,20220921141500,29810
VD,20220921142000,29962
VD,20220921142500,30114
VD,20220921143000,30207
VD,20220921143500,30252
VD,20220921144000,30399
VD,20220921144500,30579
VD,20220921145000,30884
VD,20220921145500,30993
VD,20220921150000,30989
VD,20220921150500,30788
VD,20220921151000,30827
VD,20220921151500,30964
VD,20220921152000,31186
VD,20220921152500,31363
VD,20220921153000,31581
VD,20220921153500,31695
VD,20220921154000,31725
VD,20220921154500,31848
VD,20220921155000,32064
VD,20220921155500,32264
VD,20220921160000,32349
VD,20220921160500,32581
VD,20220921161000,32815
VD,20220921161500,33132
VD,20220921162000,33246
VD,20220921162500,33389
VD,20220921163000,33426
VD,20220921163500,33506
VD,20220921164000,33455
VD,20220921164500,33515
VD,20220921165000,33559
VD,20220921165500,33712
VD,20220921170000,33902
VD,20220921170500,34137
VD,20220921171000,34287
